Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liberia,22411,0,0,0,0,0,0,0,3244,15209,3583,7227,5775,6604,0,780,446,2335,1730,9120,7216,7879,2811,3539,1346,3520,2955,11012,7733,583
Madagascar,863040,587658,736406,627783,435621,585188,718049,480233,796116,464383,216232,87257,145329,118950,127034,96016,178720,99451,196187,39637,73585,143911,78917,166138,137810,59326,75796,57536,6477,4004
Malawi,124154,99535,128022,103574,78469,91633,60151,60170,58600,54310,61488,63712,43970,48882,25737,20867,17420,18875,20554,17575,8120,25853,19530,28730,25535,17859,22149,12622,12080,15659
Mexico,3683104,3530820,3332041,3263616,2789046,3626492,4633497,4502424,3399026,4357625,5303690,3333166,2644659,2595593,2361931,1984803,2570075,2912302,2448001,2838096,2497540,2906518,3556456,3132050,2479527,2457997,2232913,2910650,2888140,2626985
Nepal,0,0,0,8,0,250,83,67,33,0,67,67,117,1859,1457,1143,1387,1920,1037,1508,1037,3748,1429,1220,863,2025,2071,975,1845,1241
Nicaragua,671184,392053,635946,476466,623514,681179,822356,714003,940584,984194,1366623,1364592,955402,1013237,1311350,1002543,1445303,1259347,1625111,1373999,1711816,1467710,1987302,1660550,1900637,1753159,1963467,2448638,2300035,2954390
Nigeria,3582,922,11391,10304,7873,15191,6924,6905,9897,8576,6744,6855,5310,8979,5619,8358,27951,9413,1888,642,3044,6554,1662,721,1432,2863,1401,2580,3013,2194
Panama,131654,124200,125404,129286,76486,180533,138598,124107,145123,117981,72034,56933,82697,86101,99145,90375,106943,108895,113952,58995,65335,53089,50593,48549,51025,49714,55585,50141,46894,50692
Papua New Guinea,1050719,788353,917174,1054634,1156837,1002052,1090076,1043437,1348968,1320148,1043157,1095411,1057054,1147168,1047665,1199641,848807,908745,1095921,1026973,929341,1224523,924930,810933,806834,711482,1133180,794100,869946,787073
Paraguay,262502,120084,40369,58442,48363,20596,15914,35259,19356,3494,5439,600,21449,30868,17202,23764,24812,31485,839,18,196,20,7,8,46,0,9,2,14,1
Peru,1105078,1041867,1061043,775000,1057017,1760467,1679374,1647733,1949254,2407330,2361566,2662796,2789464,2503025,3184062,2369438,3881026,2879494,3732567,3073578,3816671,4697070,4310352,3736076,2719890,2789839,3959584,3945823,4063939,3771946
Philippines,168282,103025,41316,34758,125670,57324,27032,30929,21003,8595,4997,3014,7008,12331,28813,34415,38087,32424,4393,6731,6367,10326,3091,6092,12038,14831,12943,8549,3993,7086
Rwanda,779150,473980,644525,480725,30024,313899,265306,217949,214272,314019,270158,278773,329949,245426,450444,235599,388967,255536,326068,304316,295963,276812,250845,254267,255683,262684,244335,245941,350372,388866
Sierra Leone,139744,103821,47020,40986,61924,71475,28512,46943,41865,22945,39796,35903,80461,33974,22946,20385,50983,51090,25712,103733,57576,37387,65270,56992,24032,54040,25807,34974,26546,46740
Sri Lanka,19137,22168,14724,14464,47359,21896,11536,21136,27266,17260,2431,4143,2912,5976,6913,2509,7429,4254,1701,649,1655,2354,153,280,2338,483,1449,1689,1538,955
Tanzania,1019052,871330,827786,1037296,632138,744653,969637,655167,742305,643354,740349,866162,496102,882665,552832,711757,731541,807248,817936,1156944,555802,798100,756221,934795,717957,708912,904798,664079,856004,1069214
Thailand,1001435,540937,1163776,981782,1136046,1209523,872686,1066230,778031,493404,970331,1147791,253300,180635,419814,374568,540099,365445,175043,185388,369628,242754,349719,49308,27370,578329,130953,141126,258134,174299
Timor-Leste,0,0,0,0,0,0,0,0,0,0,1195,31665,30026,45907,22436,18401,49302,31252,49608,43197,68039,38721,55877,70240,111062,67686,67853,86278,128668,117198
Togo,238838,154834,313177,218284,165795,200316,85490,313137,165801,320880,282600,193325,100191,71558,148541,163998,117895,154908,120659,151704,198108,155084,147390,90757,133969,178105,74877,27329,111044,58493
Trinidad and Tobago,30232,7672,2451,9744,5400,4060,3757,3952,5219,2967,3097,2840,2145,1792,2186,774,792,760,1260,143,500,300,1448,2486,2137,1932,1765,1800,2871,2471
Uganda,2352680,2095093,1961034,1829081,3368765,3079261,4654503,3501942,3286012,3840797,2513272,3059763,3357847,2522128,2627011,2368692,2172889,2693187,3310650,3014351,2656536,3142011,2685237,3671879,3442351,3595607,3543097,4774033,4223182,4526143
Venezuela,277795,127889,135818,525002,385996,96752,494567,104537,267563,464082,38367,25934,191901,259952,169835,22069,64869,70380,125486,18182,19084,467,2315,5763,82,504,0,0,71773,53233
Vietnam,1145234,1200952,1937611,2071837,2720911,3546405,3779415,6177834,6466712,7727013,11618376,14106443,11771367,11631111,14858991,13432034,13904702,17936219,16101372,17051734,14228586,17717395,22919664,19717764,26097144,21943502,29721291,25092159,31385066,27400162
Yemen,50000,71667,36989,50853,92840,76874,42007,79789,70791,68004,58104,65880,60998,55327,44628,77869,60565,72241,66580,39364,43530,35277,62652,55349,56989,52232,37901,46422,42118,12181
Zambia,24360,29198,30514,23072,23954,20742,35824,38890,33308,51184,64552,114945,99446,129673,103755,105802,77946,53682,48486,32548,17871,9003,7076,10255,5244,2940,9791,12569,26169,27277
Zimbabwe,250772,239324,162318,69828,31744,156975,150362,109008,153268,131422,117057,104568,119089,97428,113008,70885,54241,32403,23101,18479,7434,4562,4004,2181,11302,11069,12287,2349,4805,6268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,
