Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Haiti,191.445,150.673,165.976,158.542,103.468,151.788,156.468,100.776,127.306,71.841,72.858,86.668,41.182,37.022,32.056,25.099,23.787,20.818,17.201,15.916,8.740,8.621,11.062,8.279,3.141,2.661,1.277,1.886,2.019,1.861
Honduras,1735.093,1444.363,1960.071,1705.317,1718.185,1795.963,2059.760,1722.482,2329.274,1986.603,2878.560,2391.613,2711.260,2425.237,2779.189,2391.905,2898.414,3312.009,3259.455,3084.188,3349.398,3947.141,5507.985,4185.119,4251.827,5029.667,5305.953,7340.844,7143.884,6764.565
India,1979.148,1727.359,1816.341,2101.593,2496.085,2467.257,3103.176,2640.111,3486.830,3621.959,4228.788,3729.701,3550.130,3707.066,3647.337,2828.932,3578.275,3319.406,3376.669,3006.562,4647.281,5414.011,5043.962,5032.639,5130.914,5262.294,6086.120,6541.501,5967.225,6027.861
Indonesia,6903.227,6170.796,4603.696,5662.094,4604.630,3946.585,6440.280,5755.078,5598.032,5115.027,5357.599,5243.405,4285.830,4794.720,5455.599,6744.094,5280.435,4149.410,5740.673,7907.274,5489.148,3919.892,8205.741,9254.807,6174.810,8378.688,6545.392,8197.574,4538.839,6333.873
Jamaica,14.984,16.705,22.427,24.354,15.827,26.323,27.285,29.682,16.981,24.228,28.916,28.191,26.373,24.508,29.190,15.313,24.604,22.733,20.775,24.831,15.435,16.060,14.919,15.054,10.249,11.874,11.224,10.232,9.752,9.405
Kenya,1969.338,1557.532,1384.291,1438.799,1358.411,1450.046,1901.584,1159.095,841.489,1114.070,1328.308,1095.882,735.704,919.569,753.598,673.140,597.133,817.466,608.429,524.748,531.093,609.163,802.886,814.542,798.727,712.056,727.043,709.638,753.031,835.887
Laos,98.333,98.333,101.850,141.667,153.000,165.233,144.167,110.083,111.688,191.336,254.599,198.119,278.067,232.650,267.067,236.900,119.864,251.688,258.105,263.862,287.858,420.966,359.762,399.651,369.726,403.170,385.780,385.588,361.022,575.337
Liberia,22.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.244,15.209,3.583,7.227,5.775,6.604,0.000,0.780,0.446,2.335,1.730,9.120,7.216,7.879,2.811,3.539,1.346,3.520,2.955,11.012,7.733,0.583
Madagascar,863.040,587.658,736.406,627.783,435.621,585.188,718.049,480.233,796.116,464.383,216.232,87.257,145.329,118.950,127.034,96.016,178.720,99.451,196.187,39.637,73.585,143.911,78.917,166.138,137.810,59.326,75.796,57.536,6.477,4.004
Malawi,124.154,99.535,128.022,103.574,78.469,91.633,60.151,60.170,58.600,54.310,61.488,63.712,43.970,48.882,25.737,20.867,17.420,18.875,20.554,17.575,8.120,25.853,19.530,28.730,25.535,17.859,22.149,12.622,12.080,15.659
Mexico,3683.104,3530.820,3332.041,3263.616,2789.046,3626.492,4633.497,4502.424,3399.026,4357.625,5303.690,3333.166,2644.659,2595.593,2361.931,1984.803,2570.075,2912.302,2448.001,2838.096,2497.540,2906.518,3556.456,3132.050,2479.527,2457.997,2232.913,2910.650,2888.140,2626.985
Nepal,0.000,0.000,0.000,0.008,0.000,0.250,0.083,0.067,0.033,0.000,0.067,0.067,0.117,1.859,1.457,1.143,1.387,1.920,1.037,1.508,1.037,3.748,1.429,1.220,0.863,2.025,2.071,0.975,1.845,1.241
Nicaragua,671.184,392.053,635.946,476.466,623.514,681.179,822.356,714.003,940.584,984.194,1366.623,1364.592,955.402,1013.237,1311.350,1002.543,1445.303,1259.347,1625.111,1373.999,1711.816,1467.710,1987.302,1660.550,1900.637,1753.159,1963.467,2448.638,2300.035,2954.390
Nigeria,3.582,0.922,11.391,10.304,7.873,15.191,6.924,6.905,9.897,8.576,6.744,6.855,5.310,8.979,5.619,8.358,27.951,9.413,1.888,0.642,3.044,6.554,1.662,0.721,1.432,2.863,1.401,2.580,3.013,2.194
Panama,131.654,124.200,125.404,129.286,76.486,180.533,138.598,124.107,145.123,117.981,72.034,56.933,82.697,86.101,99.145,90.375,106.943,108.895,113.952,58.995,65.335,53.089,50.593,48.549,51.025,49.714,55.585,50.141,46.894,50.692
Papua New Guinea,1050.719,788.353,917.174,1054.634,1156.837,1002.052,1090.076,1043.437,1348.968,1320.148,1043.157,1095.411,1057.054,1147.168,1047.665,1199.641,848.807,908.745,1095.921,1026.973,929.341,1224.523,924.930,810.933,806.834,711.482,1133.180,794.100,869.946,787.073
Paraguay,262.502,120.084,40.369,58.442,48.363,20.596,15.914,35.259,19.356,3.494,5.439,0.600,21.449,30.868,17.202,23.764,24.812,31.485,0.839,0.018,0.196,0.020,0.007,0.008,0.046,0.000,0.009,0.002,0.014,0.001
