Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Portugal,551.589,557.469,591.174,666.447,663.862,633.168,742.959,727.290,761.587,816.947,811.433,843.381,838.099,833.901,838.341,831.216,861.681,911.297,885.071,886.726,1010.442,1057.734,1075.842,1062.682,1059.749,1043.857,1128.481,1093.955,1140.203,1219.765
Romania,441.534,335.450,603.208,425.350,347.447,551.343,696.558,630.977,595.302,511.423,551.557,633.172,738.258,755.340,828.316,874.363,854.259,839.755,826.103,811.462,838.855,844.185,902.873,971.477,958.483,1011.643,1133.699,1154.573,1174.143,1165.061
Russia,0.000,0.000,1381.858,1794.946,1725.730,1728.144,1127.972,2185.288,1731.918,1368.077,1890.453,3056.870,3504.015,3772.288,3205.391,3335.803,3465.140,4317.899,4053.190,3553.161,4155.257,4217.683,4174.745,4410.193,4746.950,4710.038,5232.881,5467.783,5287.542,5916.633
Slovakia,0.000,0.000,0.000,288.477,256.693,250.087,260.546,252.885,258.930,268.976,285.965,317.005,300.009,302.836,298.005,307.624,347.173,508.265,610.576,458.397,654.848,777.215,771.630,798.425,918.893,910.385,906.183,723.050,889.517,773.500
Slovenia,0.000,0.000,122.875,152.218,159.139,147.619,174.634,170.647,174.303,181.525,186.773,194.183,200.809,177.061,196.182,190.882,186.660,204.555,205.057,210.241,217.586,222.989,220.895,257.915,268.925,271.786,322.870,401.439,549.660,619.500
Spain,3053.251,2969.543,3414.290,2813.088,3028.425,3145.866,3515.278,3776.561,3717.654,3986.024,3768.202,4057.629,4026.116,4135.617,4173.474,4356.082,4538.360,4874.749,4863.768,4811.284,5034.403,4820.908,5094.020,5136.943,5405.558,5428.565,5660.147,5414.229,5673.001,5983.511
Sweden,1766.674,1717.087,1771.725,1756.601,1893.292,1420.442,1522.379,1472.842,1439.637,1455.677,1344.168,1432.180,1463.309,1434.927,1495.227,1693.003,1820.482,1769.668,1804.126,1658.654,1726.680,1646.726,1679.735,1709.389,2198.463,2120.551,2349.869,2306.332,2262.214,2347.797
Switzerland,1170.508,1130.292,1101.251,1059.878,1099.406,1016.829,1111.627,970.772,1111.835,1138.926,1171.483,1254.538,1216.745,1321.870,1236.295,1641.049,1502.620,1823.108,1977.688,2101.000,2317.606,2497.914,2477.957,2666.751,2643.106,2747.859,2816.026,2903.618,3086.019,3228.383
Tunisia,101.000,90.201,110.583,100.624,137.267,136.783,143.650,164.617,147.417,185.747,192.450,233.000,235.566,123.148,263.911,189.974,209.464,253.418,317.612,288.799,304.090,428.782,438.924,438.967,460.028,458.707,465.553,546.156,532.967,508.332
United Kingdom,2898.298,2805.914,3088.172,3196.981,3465.860,2806.723,2903.453,2929.338,3142.408,2907.255,3012.401,3061.827,2971.318,3002.018,3328.680,3433.304,4045.789,3780.548,3967.458,4130.908,4301.908,4183.230,4126.054,4206.091,4318.696,4895.407,5052.293,4989.038,5687.860,5554.364
United States of America,21006.786,19839.630,22939.033,19328.721,16171.245,17106.857,19444.533,20342.746,21030.401,22746.432,23766.839,21415.141,21638.914,22760.196,23183.954,23041.516,23708.762,24219.282,24277.004,23578.065,24378.013,26093.395,26056.163,27015.540,27565.498,27707.664,28837.838,29487.886,28918.207,30854.073
