Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Haiti,392.880,463.352,499.855,450.697,450.246,513.945,428.387,431.818,439.247,399.027,419.850,402.640,373.945,373.842,365.211,356.006,362.112,359.411,358.682,350.584,349.528,349.195,349.732,345.210,343.207,340.865,341.578,342.380,346.892,346.650
Honduras,1567.958,2321.808,1918.209,1829.179,2180.730,1909.238,2004.388,2564.405,2195.145,2985.005,2666.658,3036.252,2495.886,2967.865,2575.144,3204.361,3461.282,3639.793,3449.987,3602.917,4330.685,5882.135,4685.996,4583.025,5268.216,5785.776,7456.898,7559.768,7152.880,5931.220
India,2828.687,2999.749,2823.497,3533.181,3001.564,4012.026,3417.121,4108.756,4416.768,4866.589,5019.767,4810.413,4587.889,4708.272,4591.010,4566.290,4500.073,4366.659,4071.666,4826.652,5599.973,5333.541,5403.441,5075.331,5449.867,5830.338,6160.944,5813.224,5325.392,4987.626
Indonesia,7441.383,8493.196,5569.478,6743.288,5367.878,4573.429,8220.584,7620.778,7295.955,6557.066,6987.240,6833.356,6731.376,6404.076,7536.371,9158.959,7482.674,7776.556,9612.347,11379.670,9128.512,6888.923,13070.039,12900.949,10946.277,12585.475,11541.027,10852.315,9617.594,11432.943
Jamaica,22.574,38.987,25.583,34.287,44.598,43.084,53.864,47.025,29.083,37.971,36.877,30.775,37.123,37.447,21.307,34.278,40.120,20.177,31.892,25.084,20.555,24.007,23.716,19.829,21.051,20.012,18.045,19.055,17.854,22.879
Kenya,1485.135,1514.047,1315.548,1328.112,1663.131,1664.234,1246.753,881.965,1172.882,1501.891,1001.864,990.531,945.402,673.422,735.583,660.135,826.080,652.105,541.075,629.740,640.874,757.315,875.446,842.950,769.763,799.167,792.768,789.517,930.420,843.708
Laos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,171.424,238.772,212.185,258.145,402.004,361.463,379.442,279.646,391.099,393.123,405.610,433.869,544.362,514.000,540.502,544.417,552.492,535.159,510.326,533.370,646.783,621.845
Liberia,3.000,3.000,3.000,5.000,5.000,5.000,5.000,5.000,17.779,12.163,12.305,11.833,12.482,5.080,5.780,5.361,6.728,6.851,12.412,12.692,10.439,10.235,10.121,5.939,7.073,10.047,12.087,16.305,5.937,5.850
Madagascar,982.447,932.513,1121.684,441.859,641.372,785.009,849.008,623.804,991.799,427.317,362.162,147.236,445.455,434.658,521.660,599.149,586.510,614.166,727.688,456.961,529.723,584.853,499.709,584.476,501.454,414.232,452.757,404.192,379.377,383.313
Malawi,104.628,124.286,137.161,62.111,84.112,91.235,48.650,60.820,64.321,59.000,63.138,60.390,42.464,48.155,20.615,24.416,16.663,18.812,20.753,16.922,16.929,25.826,22.826,27.794,24.710,21.202,19.516,14.470,12.866,16.043
